"rcdk.fp.extended_673","rcdk.fp.hybridization_512","MDEN.22","rcdk.fp.standard_398","nAtomP","MDEC.33","MLogP","rcdk.fp.hybridization_958","rcdk.fp.circular_593","SCH.5","rcdk.fp.circular_299","VCH.5","VC.5","rcdk.fp.extended_253","rcdk.fp.standard_256","rcdk.fp.hybridization_770","rcdk.fp.standard_116","VCH.7","nHBDon","C3SP2","C1SP2","rcdk.fp.extended_874","rcdk.fp.estate_35","rcdk.fp.extended_622","rcdk.fp.pubchem_696","WTPT.3","rcdk.fp.hybridization_839","rcdk.fp.standard_1016","rcdk.fp.circular_660","rcdk.fp.extended_66","VC.6","TopoPSA","rcdk.fp.extended_196","rcdk.fp.standard_286","rcdk.fp.hybridization_454","VP.4","rcdk.fp.hybridization_644","rcdk.fp.standard_728","WTPT.5","SCH.6","rcdk.fp.circular_423","SCH.7","rcdk.fp.hybridization_138","rcdk.fp.circular_714","rcdk.fp.extended_548","ATSp4","rcdk.fp.hybridization_795","rcdk.fp.pubchem_644","rcdk.fp.circular_261","rcdk.fp.circular_581","rcdk.fp.kr_3971","rcdk.fp.extended_372","rcdk.fp.extended_404","rcdk.fp.standard_902","rcdk.fp.standard_69","rcdk.fp.kr_3749","rcdk.fp.extended_572","rcdk.fp.extended_248","rcdk.fp.standard_408","MDEN.23","rcdk.fp.standard_841","C2SP2","VCH.6","MDEO.12","rcdk.fp.standard_622","rcdk.fp.kr_1438","ATSp1","SC.5","rcdk.fp.standard_782","ECCEN","rcdk.fp.standard_513","rcdk.fp.standard_14","rcdk.fp.standard_870","rcdk.fp.standard_602","rcdk.fp.extended_63","rcdk.fp.extended_814","rcdk.fp.kr_2949","rcdk.fp.kr_2673","rcdk.fp.circular_47","rcdk.fp.standard_673","rcdk.fp.standard_292","VPC.6","ATSp5","rcdk.fp.hybridization_335","rcdk.fp.circular_798","rcdk.fp.graph_469","rcdk.fp.extended_944","MDEC.23","WTPT.4","rcdk.fp.standard_748","rcdk.fp.extended_436","rcdk.fp.pubchem_260","SPC.6","VP.6","apol","rcdk.fp.maccs_43","naAromAtom","rcdk.fp.pubchem_259","VP.3","rcdk.fp.kr_161","rcdk.fp.hybridization_392","rcdk.fp.circular_886","rcdk.fp.extended_178","rcdk.fp.kr_3682","rcdk.fp.extended_258","MDEC.24","rcdk.fp.standard_910","rcdk.fp.kr_1148","ATSm1","rcdk.fp.standard_305","rcdk.fp.kr_3892","rcdk.fp.standard_793","Y"
1,0,0,0,9,12.9134595460009,3.66,0,0,0.0680413817439772,0,0.0510310363079829,0.339142774282495,0,0,0,0,0.436204060846053,0,4,2,0,1,0,1,14.2411618006171,0,1,0,1,0.0346474506074078,46.61,0,0,0,6.08565216455423,0,1,3.6100109632386,0.499587977710951,0,0.953222175992742,0,1,0,6274.81497308642,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,8,0.302811916855419,0.577350269189626,0,0,2711.022353618,0.866644873223016,0,514,1,0,0,1,1,0,0,1,0,0,0,7.71407281564556,6410.08052515721,1,1,0,1,33.6973369955438,8.07656504310596,0,0,0,20.1060089386263,3.23858033245443,67.022618,0,12,0,7.32932519253621,0,1,0,1,1,0,4.23421800645754,0,0,40.3963373157481,1,0,0,"0"
0,1,0,0,12,15.2005416502277,3.11,0,0,0.0962250448649376,0,0.0294627825494395,0.149966214475704,0,0,0,1,0.214844157612821,1,5,2,1,1,0,0,16.6858273255898,0,0,0,1,0,85.97,1,1,0,3.7047156911293,0,0,0,0.404071792216011,0,0.752302422487878,1,0,0,3297.68470387083,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0.161118599567822,1.6674418723698,1,0,1815.01165986689,0.59277042955868,0,567,0,1,0,0,0,0,1,0,0,0,1,3.08937844153924,2929.02191369522,0,0,0,0,23.0249431050868,16.6858273255898,0,0,0,11.634949155454,1.56195614821278,55.10786,0,15,0,5.04353254902338,0,1,0,0,0,0,0,0,1,31.6468142132457,0,0,1,"1"
0,0,0,0,19,5.28212297153339,3,0,0,0.0641500299099584,0,0.0288675134594813,0.106671358997881,0,0,0,0,0.159634110414331,1,0,2,0,1,0,0,14.8235720557293,0,1,0,0,0,60.85,0,0,0,2.90162007713634,0,1,7.09839722948603,0.433130461005941,0,0.703984639770067,0,0,0,2923.85021936762,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0.132702946754983,0,0,0,1643.28870852405,0.433583048231742,0,415,0,0,0,0,1,0,1,0,1,0,0,2.23117761484538,2788.59451577616,0,0,0,1,19.9731448397461,7.72517482624324,0,0,0,10.0193415293975,1.16859185898553,51.38186,0,12,0,4.15509218844625,0,1,0,0,0,0,0,0,1,27.0433677091758,0,0,1,"0"
0,0,0.166666666666667,0,6,15.7581001539879,2.67,0,0,0.292643595194534,0,0.264883870017742,0.455385281403876,0,0,0,0,1.29122281950502,1,1,3,0,0,1,0,15.0042329631583,0,0,0,0,0,99.55,0,0,0,7.57491909082875,1,0,6.12751350358514,0.770910882815916,0,1.20022780056829,0,0,1,4018.02967374411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.682105802724223,0,0,0,2222.27711323125,0.374952753961405,1,313,0,1,0,0,1,0,1,0,0,0,0,10.6996169229293,3804.7946133815,0,0,0,0,18.5746268124929,2.55882899484311,0,0,0,10.906541390096,4.86721497688382,47.630688,0,11,1,8.04594514982206,0,0,0,0,0,0,0,0,1,34.7499357149939,0,0,0,"1"
0,0,0,0,23,13.5830645598241,3.44,1,0,0,0,0,0.172843335644037,0,0,1,0,0.184160218257416,1,4,2,0,1,1,1,14.7761167122728,1,0,0,0,0,60.85,0,0,0,4.35807868742116,1,0,7.00762785488015,0.346029380285869,0,0.612950346761901,1,0,0,4619.11536020342,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0.165699738690929,0,0,0,2229.73345386057,0.600670156426637,0,608,0,0,0,0,1,0,1,0,1,0,0,3.81916280307439,4310.08791432024,1,0,0,0,30.7519362694092,7.76848885739262,0,0,1,14.8577805250611,1.8502054773416,58.42186,0,16,0,5.66930240441667,0,1,0,0,0,0,0,1,1,31.0433677091758,0,1,0,"1"
0,1,1.2539716250878,0,21,6.46146095085449,2.56,0,0,0,0,0,0.0935402363731747,0,1,0,0,0.0828747741583929,2,1,3,0,1,0,0,28.189201705997,0,0,0,0,0.00721237204013192,126.5,0,1,1,3.02600315197341,1,0,12.1910446641399,0.253436787693276,0,0.331365696528346,0,0,0,3470.71225357061,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,13,0.0742865494624976,0,1,0,2179.56487972473,0.540911802259213,1,811,1,0,0,0,1,1,0,0,0,0,0,1.92142534840322,3177.25161223188,0,0,1,0,17.5221964029282,9.95643649249667,0,0,1,9.53938729980218,1.08537473877075,59.223481,0,18,0,4.52041089494533,0,0,0,0,0,0,0,1,0,48.3785002935685,1,0,0,"1"
0,1,0.96548938460563,0,12,5.1401432270741,2.67,0,0,0,0,0,0.0935402363731747,0,0,0,0,0.0860790817042376,1,2,2,0,1,0,0,25.5664835003287,0,0,0,0,0.00721237204013192,106.63,0,0,0,3.00500117624565,0,0,9.1975477410034,0.253436787693276,0,0.331365696528346,0,0,0,3304.80198231048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0.0742865494624976,0.286178560638333,1,0,2094.89471679712,0.540911802259213,1,784,1,0,0,0,1,1,0,0,0,0,0,1.85872924850125,2918.92458720437,0,0,1,0,17.4661529760588,10.3285240011038,0,0,1,8.70877955898696,1.12209124344136,58.790274,0,18,0,4.66939726285748,0,1,0,0,0,0,0,0,0,47.018519992292,1,0,0,"0"
0,0,0,0,7,10.7044178696493,3.55,0,0,0.058925565098879,0,0.058925565098879,1.18729545256231,0,0,0,0,1.00969083510819,3,1,2,0,1,0,0,27.8178423484229,0,1,0,1,0.367690344601479,144.28,0,0,0,6.94715060442423,1,1,0,0.677016261583287,0,1.87794478261169,0,0,0,6661.16997197428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0.425254877803369,4.06805030112846,1,0,2998.8991501179,1.92806755842241,0,964,0,0,0,0,0,0,1,1,0,0,0,12.8860627290499,6015.07020914183,0,0,0,0,26.1556378902862,27.8178423484229,1,0,0,25.772527317099,3.49598749018465,85.73172,0,0,0,9.64329694295135,0,1,0,0,0,0,8.79550402466532,0,1,46.7446903554095,0,0,1,"0"
0,0,1,0,5,1.65096362444731,1.9,0,0,0.0962250448649376,0,0.0223606797749979,0.0967140928852001,1,0,0,0,0.24414753513141,0,0,2,0,0,0,0,11.9078735043283,0,0,0,0,0,69.51,0,0,0,1.39971390143178,0,0,9.37591948876519,0.426752252797336,0,0.655417365412948,0,0,0,957.581599242188,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.16550725392484,0,0,0,767.576542134766,0.21982198216447,0,121,0,1,0,0,1,0,0,0,0,0,0,1.17265892638481,726.253215792969,1,0,0,0,5.11732032057026,0,0,1,0,3.1647783087535,0.415453135839451,27.614723,0,5,0,2.05622916759009,0,1,0,0,0,0,0,1,0,19.2076939422795,0,0,0,"1"
0,0,0,0,5,15.9175564215713,3.88,0,0,0.23883545031537,0,0.173112522432469,1.27701422816483,0,0,0,0,1.53434847943535,2,2,1,0,1,0,0,16.2280699738875,0,1,0,1,0.256032357535607,96.36,0,0,0,9.58263828214216,1,1,0,1.13680978260523,0,2.63489266258962,0,0,0,7120.92825838336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0.704164011714983,1.35118555132862,1,0,3052.28337662354,1.97558325538052,0,883,0,0,0,0,0,0,1,1,0,0,0,18.1025401288378,6205.22748836258,0,0,0,0,26.135053186139,16.2280699738875,1,0,0,28.5557262781657,5.56593541001822,79.430134,0,0,0,11.4782029431453,0,1,0,0,0,0,7.2619012452724,0,1,38.6468142132457,0,0,0,"0"
0,0,1.65096362444731,0,22,5.00900692058262,3,0,1,0,0,0,0.0348563705192143,0,0,0,0,0.129351843137888,3,3,2,0,1,0,0,22.1124279337052,0,0,0,0,0,115.04,0,0,0,2.94470821743359,0,0,9.09920912301603,0.25,0,0.367148116161318,0,0,0,2812.9951892995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0.0833333333333333,0.166666666666667,0,1,2054.74836471052,0.25,0,882,1,0,0,1,0,0,1,0,1,0,0,1.59032142297526,2401.49579163615,0,0,0,0,21.9116526467411,7.95181613087286,0,1,1,5.85672915124554,0.989120152361971,62.378274,1,18,0,4.68574187226564,1,1,0,0,0,0,0,0,1,82.7891918402177,0,0,0,"0"
0,0,0,0,18,1.53261886478711,2.01,0,0,0,0,0,0.104063011168558,0,0,0,1,0.0731599467224236,0,1,2,0,1,0,0,19.4264259443715,0,0,0,0,0.0150838267291956,98.55,0,0,0,1.78652136060897,1,0,6.09055622998344,0.166666666666667,0,0.214779189099135,0,0,0,2159.1323196693,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,8,0.0492943519233745,0,0,0,1334.60295377031,0.788675134594813,0,325,0,0,0,1,1,0,0,0,0,0,0,1.338003374185,1653.94022507504,0,0,0,1,10.7317411299662,9.83392825027427,0,0,0,6.42580682808138,0.723647878193455,36.09593,0,12,0,2.99132052403763,0,0,0,1,0,0,0,0,0,28.9455897831668,1,0,0,"0"
0,0,0,0,11,4.03969545543757,3.22,1,0,0,0,0,0.119271587045224,0,0,1,0,0.146505320677179,0,3,0,0,0,0,0,8.40730475038871,1,0,0,0,0,50.82,0,0,0,3.91786949262496,0,0,8.40730475038871,0.136082763487954,0,0.271017509861714,0,0,0,2913.47617233498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0833333333333333,0,0,0,1670.26312676591,0.25,0,407,0,0,0,0,1,0,0,0,0,1,0,2.65671643939958,2209.51985166623,1,0,0,0,20.8233416018526,0,1,1,0,5.75609912272814,2.08529829625599,52.076239,0,0,0,5.21362197227779,0,1,0,0,0,0,0,0,0,23.0799409038294,0,0,0,"1"
0,0,0,0,11,1.38959662104197,2.23,0,0,0,0,0,0.15516165827354,0,0,0,0,0.059966908093216,4,0,0,1,1,0,0,26.995348902335,0,0,0,1,0.0158192999292083,153.14,0,0,0,2.73862414562058,0,0,0,0.166666666666667,0,0.201184463531091,0,0,0,1664.56195513212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0555555555555556,1.89736659610103,1,0,1172.16777955714,0.824957911384306,0,656,0,0,0,0,0,0,1,0,0,0,0,1.53929413819599,1429.00942296952,0,0,0,0,11.9816046241735,20.4572126680628,0,0,0,8.55443260642111,0.873401301425276,58.265446,1,12,0,4.16124947947108,0,1,0,0,0,0,0,0,1,44.4965798848977,0,0,0,"1"
1,0,0.25,0,7,3.10267168393334,2.12,0,0,0,0,0,0.13309965132484,0,1,0,0,0.121000230955587,1,0,3,0,1,0,0,19.522506786537,0,0,0,0,0,61.77,0,0,0,2.66977645990342,0,0,9.44047186164907,0.157617628171521,0,0.278119160381289,0,0,0,1748.78229004178,0,1,0,0,0,0,0,0,0,0,0,1,0,1.15470053837925,0,2,0.116495829345706,0,0,0,1284.75676361678,0.343418919464003,0,389,1,0,0,1,1,0,0,0,0,1,0,1.60577154907162,1265.63132004209,0,0,0,0,9.26670638179796,5.07030072732097,0,0,0,5.3206076765826,0.826982304258635,43.479481,0,6,0,4.29694192067114,0,0,0,0,0,0,0,0,0,38.0547787906089,0,0,1,"0"
1,0,0,0,17,14.9561536881323,3.33,1,0,0.142717450041797,0,0.0706011329583298,0.177174983100298,0,0,1,0,0.3183853806884,0,1,2,0,1,0,1,20.6711146031645,1,0,0,0,0,70.05,0,0,0,4.10411769217539,0,0,10.3087787083036,0.708312334146899,0,1.18327756858155,0,0,0,4501.56497490215,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,19,0.242957971618575,0,0,0,2371.37827281466,0.682748401298483,0,674,1,0,0,1,1,0,0,0,1,0,0,3.53476268242323,4382.95246938662,0,0,0,1,30.0404644566817,7.83788848711542,0,0,1,15.2617002918139,1.70690577967598,60.794688,0,18,0,5.67527797303038,0,1,0,0,1,0,0,0,0,42.1162979183011,1,1,0,"0"
0,0,1,1,10,3.14734519026494,2.12,1,0,0.214076175062696,0,0.124422752390964,0.184118803865298,1,0,1,0,0.171257054121642,0,1,2,0,0,0,0,15.1183193988381,1,0,0,0,0,97.75,0,0,0,2.74475591077767,0,0,9.52888380480599,0.405714494106205,0,0.437789509061185,0,0,1,1805.76756870244,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0.210084837112289,0,0,0,1324.77496428357,0.303561200840986,0,209,0,1,1,0,1,0,0,0,0,0,0,2.14614556457127,1616.74886343304,1,0,0,0,6.41768831988285,0,0,1,0,4.66931042742167,0.98324332552813,38.461895,0,10,1,3.87499095611458,0,1,0,0,0,0,0,1,0,29.3354469807295,0,0,0,"1"
1,0,0.142857142857143,0,9,4.40020561335442,2.23,0,0,0,1,0,0.178743197783604,0,1,0,0,0.09049811397355,1,1,4,0,1,1,0,25.2327940955439,0,0,0,0,0,82.08,0,0,0,2.21824011441963,0,0,12.643460706464,0.138888888888889,0,0.348209275164798,0,0,0,2288.06466103295,0,1,0,0,0,0,0,0,0,0,1,1,0,1.37317809593808,0,7,0.0422115345075184,0,0,0,1586.1410694221,0.51008558613067,0,595,1,0,0,1,0,0,0,0,0,1,0,1.77707170745392,1800.68678656411,0,0,0,0,11.5824867488623,7.57838203664077,0,0,0,7.66530380496828,0.71881961083454,49.994688,0,12,0,4.117800178106,0,1,0,0,0,0,0,0,0,44.1892281274263,0,0,1,"0"
0,0,0.816465473333312,0,12,5.95362348258962,2.34,0,0,0.214076175062696,0,0.101798653021479,0.116354224577419,0,1,1,0,0.426799947687715,2,0,4,0,1,1,0,29.6627688956555,0,0,0,0,0,167.75,0,0,0,5.05324254674787,0,0,15.3419937744258,0.674534454038091,1,0.708701686390094,0,0,0,3099.28391417349,0,1,0,0,0,0,0,0,0,0,1,0,0,0.653925062266219,0,6,0.341617733113828,0,0,0,2302.66491210673,0.201184463531091,0,806,0,0,0,1,1,0,0,0,0,0,0,3.20150606861444,2789.0032271519,0,0,0,0,14.9007572808813,5.05501961620915,0,0,1,5.91784662618409,2.31055088527042,60.153067,0,14,1,6.96168018797712,0,0,0,0,0,0,0,0,0,49.7320986928143,0,0,0,"0"
0,0,0,0,10,9.61466482146106,3.33,0,0,0.058925565098879,0,0.058925565098879,1.14275066241047,0,0,0,0,1.00969083510819,2,1,3,0,1,0,0,27.844478684582,0,1,0,1,0.367690344601479,141.12,0,0,0,6.57989138519719,1,1,0,0.677016261583287,0,1.87794478261169,0,0,0,6358.39247863358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0.425254877803369,4.32451500289438,1,0,2806.73458109289,1.86689975206499,0,865,0,0,0,0,0,0,1,1,0,0,0,12.6430914131401,5679.16213610597,0,0,0,0,23.7259950772216,27.844478684582,1,0,0,25.2908531197868,3.31177546722913,78.210962,0,0,0,9.07370622825278,0,1,0,0,0,0,8.52531605378052,0,1,44.7446903554095,0,0,1,"0"
0,0,1.36540818203653,0,13,10.0467555215146,2.12,1,0,0.214076175062696,0,0.0888777342113389,0.142951770740912,0,1,1,1,0.349488485359155,1,0,1,0,1,1,0,35.2826277341606,1,1,0,0,0,186.82,0,0,0,4.92725156096406,1,1,15.5620049719193,0.468901163215871,0,0.76626282735258,0,0,0,3839.64211909443,0,1,0,0,1,1,0,0,0,0,0,0,0,1.00394484975916,0,12,0.229141878873598,1.11332912288395,1,0,2312.70950800623,0.418957858462184,0,742,0,1,0,1,1,0,0,1,0,0,1,4.10615523397768,3581.28191768153,0,0,0,1,15.0534523456763,13.3606502734457,0,0,1,10.1017848364333,2.42050540043713,56.991895,0,18,1,6.32148523129084,0,1,0,1,0,0,0,1,0,47.9277527609871,0,0,0,"0"
